Time;Image file path;Temp;Humidity;AC Voltage;AC Frequency;DC Voltage;T0;V0
17-26-11_467;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-11_467.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;NaN;NaN;-0.0000473856954208;0.0002101063853566;0.0001314282495635;-0.0000661611596442
17-26-17_015;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-17_015.PNG;-1.5857231350766483;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7357231350766250;NaN;NaN;NaN;0.0001806020844342;-0.0001251697614890;-0.0002503395229780;-0.0001198053431395
17-26-22_827;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-22_827.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;-62.9716540981492229;-17.1925390124496289;58.2460400247285221;-0.0002047419670070;-0.0001993775486575;-0.0001260638312139;-0.0000116229064240
17-26-28_021;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-28_021.PNG;-1.5859151226046038;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7359151226045810;NaN;NaN;NaN;0.0000053644183495;-0.0000903010422171;-0.0001028180183660;0.0000125169761489
17-26-33_448;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-33_448.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;15.3429787081638693;NaN;NaN;-0.0001636147596606;-0.0000393390678965;0.0000312924403723;0.0000670552293691
17-26-38_751;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-38_751.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;-26.9196938423275860;NaN;-0.0004211068404381;0.0000482797651458;-0.0003111362642727;0.0000017881394498
17-26-44_439;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-44_439.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;NaN;NaN;-0.0002682209174765;-0.0002959370789490;0.0000482797651458;0.0001350045284632
17-26-49_626;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-49_626.PNG;-1.5857133401790406;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7357133401790180;NaN;NaN;NaN;0.0001895427816834;-0.0001314282495635;0.0002467632440784;-0.0001421570862625
17-26-54_796;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-54_796.PNG;-1.5859190408667132;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7359190408666900;NaN;NaN;-194.5582764300032460;0.0000017881394498;0.0000885129027672;-0.0001707673174600;0.0000017881394498
17-26-59_857;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-26-59_857.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;NaN;NaN;-0.0001466274348871;-0.0002244115009553;0.0000724196477186;-0.0002145767339812
17-27-05_424;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-05_424.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;-18.5380696339621806;NaN;NaN;-0.0004068017248393;-0.0002583861505023;0.0002503395229780;0.0002503395229780
17-27-10_850;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-10_850.PNG;-1.5858935722697538;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7358935722697310;NaN;NaN;NaN;0.0000250339522978;-0.0001609325504859;-0.0002163648734310;-0.0004139542826387
17-27-16_148;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-16_148.PNG;-1.5857094222304227;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;-274.7357094222304000;NaN;5.7568410534012209;NaN;0.0001931190605831;-0.0001323223192884;0.0000634789504694;-0.0000965595302915
17-27-21_463;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-21_463.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;-23.3352711423537649;NaN;5.4499936442692105;-0.0000295043009224;-0.0000205636036732;0.0001779198752594;-0.0000098347669741
17-27-27_395;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-27_395.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;NaN;NaN;-0.0000250339522978;-0.0000625848807445;0.0000616908110196;-0.0003513694018942
17-27-32_579;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-32_579.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;NaN;2.2672804071672417;-0.0002646446385768;0.0000312924403723;0.0003576278899686;-0.0000974536000165
17-27-37_756;C:\Projects\BioSIM\src\LabVIEW\BioSIM\Data\_26\images\17-27-37_756.PNG;NaN;0.0000000000000000;869.9999999999999990;180.0000000000000000;400.0000000000000000;NaN;NaN;4.4947850002103031;-52.2169317153907570;-0.0002717971963762;0.0001171231339647;-0.0000929832513918;-0.0002557039413276
